Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,2.2uF,C_1206_3216Metric,-39.0,78.25,0.0,bottom
C10,35V 270uF,CP_Radial_D10.0mm_P5.00mm,-30.0,75.95,0.0,top
C11,0.1uF,C_0603_1608Metric,-41.9,64.75,0.0,bottom
C12,0.1uF,C_0603_1608Metric,-37.275,73.85,180.0,bottom
C13,0.01uF,C_0603_1608Metric,-35.8,59.75,270.0,bottom
C14,10uF,C_0603_1608Metric,-58.6,79.05,180.0,bottom
C17,0.1u,C_0603_1608Metric,-33.8,59.775,270.0,bottom
C18,10nF,C_0603_1608Metric,-29.8,73.95,180.0,bottom
C2,1uF,C_0603_1608Metric,-10.9,44.15,90.0,bottom
C21,16V 100uF,CP_Radial_D6.3mm_P2.50mm,-56.5,68.3,180.0,top
C3,0.1uF,C_0603_1608Metric,-39.0,60.55,180.0,bottom
C4,10nF,C_0603_1608Metric,-48.1,58.55,90.0,bottom
C43,10nF,C_0603_1608Metric,-30.9,78.75,270.0,bottom
C5,0.47uF,C_0603_1608Metric,-34.9,75.95,270.0,bottom
C50,250V 1uF,C_Rect_L13.0mm_W6.0mm_P10.00mm_FKS3_FKP3_MKS4,-3.5,73.65,90.0,top
C51,250V 1uF,C_Rect_L13.0mm_W6.0mm_P10.00mm_FKS3_FKP3_MKS4,-3.3,58.85,-90.0,top
C6,0.1uF,C_0603_1608Metric,-41.3,57.65,270.0,bottom
C7,0.1uF,C_0603_1608Metric,-42.75,61.65,90.0,bottom
C8,10uF,C_0603_1608Metric,-55.425,79.05,0.0,bottom
C9,0.01uF,C_0603_1608Metric,-17.3,45.35,270.0,bottom
CN1,FP-C-R16M,FP-C-R16M,-21.7,85.5,0.0,top
D1,TSD3JFSH,SODFL4725X110N,1.3,74.4575,90.0,top
D10,RB501SM-30FH,D_SOD-523,-23.95,55.6,0.0,bottom
D11,TSD3JFSH,SODFL4725X110N,1.5,61.35,90.0,top
D12,D5V0H1B2LP-7B,D5V0H1B2LP7B,-15.5,48.45,180.0,bottom
D13,RB501SM-30FH,D_SOD-523,-38.6,66.95,180.0,bottom
D14,RB501SM-30FH,D_SOD-523,-36.4,72.15,180.0,bottom
D15,"BZX100A,115",D_SOD-323F,-11.8,64.15,180.0,bottom
D16,F7A,D_SOD-123FL,-17.7,77.35,180.0,bottom
D17,F7A,D_SOD-123FL,-17.7,79.95,0.0,bottom
D2,TSD3JFSH,SODFL4725X110N,-3.7,60.05,180.0,bottom
D3,F7A,D_SOD-123FL,-9.1,78.55,270.0,bottom
D4,F7A,D_SOD-123FL,-12.7,77.75,0.0,bottom
D5,RB501SM-30FH,D_SOD-523,-32.9,78.65,180.0,bottom
D6,SBS25,DIOB_SBS25,-49.5,85.55,180.0,bottom
D7,RB501SM-30FH,D_SOD-523,-23.95,54.1,0.0,bottom
D8,RB501SM-30FH,D_SOD-523,-20.9,58.6,270.0,bottom
D9,RB501SM-30FH,D_SOD-523,-33.1,80.35,0.0,bottom
DZ2,BZX84C9V1LT1G,SOT-23-3,-47.0,77.85,90.0,bottom
IC1,PIC16F15245-I_SS,SOP65P780X200-20N,-39.1,57.6,0.0,top
IC2,TPS7B6950QDCYRQ1,SOT230P700X180-4N,-57.1,84.15,90.0,bottom
IC3,UCC27519AQDBVRQ1,SOT95P280X145-5N,-13.9,45.35,180.0,bottom
Q1,ZXMN6A11ZTA,SOT-89-3,-45.45,71.15,90.0,bottom
Q2,ZXMN6A11ZTA,SOT-89-3,-50.9,72.55,90.0,bottom
Q3,RGPR30BM40,DPAK228P990X239-4N,-5.6975,48.75,90.0,bottom
Q4,IPN50R2K0CEATMA1,SOT-223-3_TabPin2,-11.7,71.95,90.0,bottom
R1,180k 1/2W,R_2512_6332Metric,-13.2625,60.35,0.0,bottom
R11,180k,R_0402_1005Metric,-36.3,75.75,270.0,bottom
R12,10k,R_0402_1005Metric,-46.2,58.9,0.0,bottom
R13,15k,R_0402_1005Metric,-12.3,66.55,0.0,bottom
R14,470,R_0402_1005Metric,-46.2,57.7,180.0,bottom
R15,2.2k,R_0402_1005Metric,-22.9,61.9,0.0,bottom
R16,4.7k,R_0402_1005Metric,-17.6,47.85,90.0,bottom
R17,4.7k,R_0402_1005Metric,-19.7,61.9,180.0,bottom
R18,2.2k,R_0402_1005Metric,-33.9,62.85,180.0,bottom
R19,1k,R_0402_1005Metric,-42.75,58.96,90.0,bottom
R2,180K,R_0402_1005Metric,-14.1,66.15,90.0,bottom
R20,5.6k,R_0402_1005Metric,-32.7,69.45,0.0,bottom
R22,150k 1W,R_2512_6332Metric,-13.2625,56.35,0.0,bottom
R23,1.5k,R_0402_1005Metric,-39.0,59.25,180.0,bottom
R24,3.3k,R_0402_1005Metric,-32.7,68.35,0.0,bottom
R27,2.2k,R_0402_1005Metric,-29.15,57.5,180.0,bottom
R3,10k,R_0402_1005Metric,-47.25,66.65,0.0,bottom
R31,2.2k,R_0402_1005Metric,-39.1,58.15,180.0,bottom
R32,10k,R_0402_1005Metric,-54.7,45.04,90.0,bottom
R33,10k,R_0402_1005Metric,-44.55,45.02,90.0,bottom
R34,10k,R_0402_1005Metric,-33.95,45.3,90.0,bottom
R35,10k,R_0402_1005Metric,-23.6,45.31,90.0,bottom
R36,10k,R_0402_1005Metric,-55.75,45.04,270.0,bottom
R37,10k,R_0402_1005Metric,-45.55,45.01,270.0,bottom
R38,10k,R_0402_1005Metric,-34.95,45.3,270.0,bottom
R39,10k,R_0402_1005Metric,-24.6,45.31,270.0,bottom
R4,10k,R_0402_1005Metric,-51.0,69.3,0.0,bottom
R40,10k,R_0402_1005Metric,-55.8,55.35,180.0,bottom
R41,10k,R_0402_1005Metric,-55.8,57.6,0.0,bottom
R5,15k,R_0402_1005Metric,-41.55,74.05,180.0,bottom
R6,2.2k,R_0402_1005Metric,-40.6,75.95,270.0,bottom
