Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,2.2uF,C377773
C10,CP_Radial_D10.0mm_P5.00mm,1,35V 270uF,x
"C11, C12, C17, C3, C6, C7",0402,6,0.1uF,C307331
"C13, C9",0402,2,0.01uF,C15195
C14,0603,1,10uF,C96446
"C18, C4, C43",0402,3,10nF,C15195
C2,0603,1,1uF,C15849
C21,CP_Radial_D6.3mm_P2.50mm,1,16V 100uF,x
C5,0805,1,0.47uF,C13967
"C50, C51",C_Rect_L13.0mm_W6.0mm_P10.00mm_FKS3_FKP3_MKS4,2,250V 1uF,x
C8,1206,1,10uF,C13585
CN1,FP-C-R16M,1,FP-C-R16M,x
"D1, D11",SODFL4725X110N,2,TSD3JFSH,x
"D10, D13, D14, D5, D7, D8, D9",D_SOD-523,7,RB501SM-30FH,C703626
D15,D_SOD-323F,1,"BZX100A,115",C461156
"D16, D17, D2, D3, D4",D_SMA,5,S1J,C184326
D6,Diode_Bridge_OnSemi_SDIP-4L,1,DF01S,C124477
DZ2,SOT-23-3,1,BZX84C9V1LT1G,C82468
IC1,SOP65P780X200-20N,1,PIC16F15245-I_SS,x
IC2,SOT230P700X180-4N,1,TPS7B6950QDCYRQ1,C108469
IC3,SOT95P280X145-5N,1,UCC27519AQDBVRQ1,C2870531
"Q1, Q2",SOT-89-3,2,ZXMN6A11ZTA,C150484
Q3,DPAK228P990X239-4N,1,RGPR30BM40,x
Q4,SOT-223-3_TabPin2,1,IPN50R3K0CE,C6577182
"R1, R22",2010,2,200k 1/2W,C20367
"R10, R20, R21, R25, R26, R28, R61, R62",0402,8,5.1k,C25905
"R11, R2",0603,2,200k,C25811
"R12, R3, R32, R33, R34, R35, R36, R37, R38, R39, R4, R40, R41",0402,13,10k,C25744
"R13, R5, R8",0402,3,15k,C25756
R14,0402,1,470,C25117
"R15, R18, R27, R31, R6, R9",0402,6,2.2k,C25879
"R16, R17",0402,2,4.7k,C25900
R19,0402,1,1k,C11702
R23,0402,1,1.5k,C25867
R24,0402,1,3.3k,C25890
R7,0402,1,22k,C25768
"SW1, SW2, SW3, SW4",42J04,4,42J04,x
SW5,EDS102SZ,1,EDS102SZ,x
TP1,CheckPoint_1608Metric,1,WL PU,x
TP10,CheckPoint_1608Metric,1,CAP CHG,x
TP11,CheckPoint_1608Metric,1,GND,x
TP12,CheckPoint_1608Metric,1,PU2 MCUIN,x
TP2,CheckPoint_1608Metric,1,PU2 BASE,x
TP3,CheckPoint_1608Metric,1,PU1 BASE,x
TP4,CheckPoint_1608Metric,1,PU2 INPUT,x
TP5,CheckPoint_1608Metric,1,PU1 INPUT,x
TP7,CheckPoint_1608Metric,1,+12V,x
TP8,CheckPoint_1608Metric,1,CHG1 OUT,x
TP9,CheckPoint_1608Metric,1,+5V,x
TR12,TO-252-3,1,IRFR9024NTRPBF,C2585
"TR2, TR3, TR4, TR5, TR6, TR7",SOT-23-3,6,"PMBS3904,215",C8668
